project,package,class,method,time_green
lorinczpatrik,tema2_TP,Simulator,addHandlers.(I)V,28
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,onSortingKeySelected.(I)V,28
supernova-cmu,CV,CrossValidation,shuffle.(I)V,27
lluidesia,com.stfalcon.lostandfound.tabs,SlidingTabLayout,setCustomTabView.(II)V,32
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,27
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,47
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,scaleToWidth.(I)Ljava/lang/Object;,27
di-ruan,shared,RDSWrapper,purchaseCoupon.(II)Z,28
WyattPearson,-,ReversiGame,flip.(II)V,29
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnInfo.(II)Z,28
TBtomislav,jxl.biff,FormattingRecords,getFormatRecord.(I)Ljava/lang/Object;,26
martincameron,ibxm,Envelope,calculateAmpl.(I)I,28
zyq001,edu.bupt.zyq,ClimbingStairs,climbStairs.(I)I,58
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarTrabajador.(I)Z,28
shareme,com.grottworkshop.gwsviewmodel.viewmodel,UserListViewModel,deleteUser.(I)V,28
TBtomislav,jxl.format,Alignment,getAlignment.(I)Ljxl/format/Alignment;,29
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getColumnName.(I)Ljava/lang/Object;,27
harithan81,com.lm.service,BookService,placeHoldOnBook.(I)Ljava/lang/Object;,27
shred,org.shredzone.feinrip.dvb.si,CharsetMapper,mapIsoCode.(I)Ljava/nio/charset/Charset;,51
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setContentView.(I)V,25
MikeLydeamore,cofh.gui.client,GuiFriendsList,drawGuiContainerForegroundLayer.(II)V,25
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,27
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageSelected.(I)V,26
jeremux,serveur,GraphImpl,getCptMessage.(I)I,27
divinebooger,-,StdDrawPlus,show.(I)V,84
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyDown.(I)Z,28
azaky,ecc,ECPoint,toString.(I)Ljava/lang/String;,36
RedingG,com.reding.qrcard,WelcomeActivity,setCurDot.(I)V,28
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,serverAcknowledgeVersion.(II)V,32
TBtomislav,jxl.write.biff,RowRecord,setOutlineLevel.(I)V,28
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,getColumnName.(I)Ljava/lang/Object;,26
xujiabin,com.zol.backserver.util.date,DateConvertUtil,getWeekCnFn.(I)Ljava/lang/Object;,32
alexditu,ro.pub.cs.systems.pdsd.lab05.sample10listactivity.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,26
di-ruan,shared,RDSWrapper,getRestaurantConfig.(I)Ljava/lang/Object;,28
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,35
divinebooger,huglife,StdDraw,show.(I)V,84
Mandrivia,main,ProblemData,getBalloonsCoord.(I)Ljava/lang/Object;,26
KenyStev,ChessChaturanga.Logica,Board,getPieceAt.(II)Ljava/lang/Object;,27
dezouzart,service,SmartBusca,checaVisitados.(II)Z,28
Jumping-alien-W-and-M,jumpingalien.model,World,setYWindow.(I)V,30
Mandrivia,main,ProblemData,setNbTurn.(I)V,28
WyattPearson,-,Board,function.(I)I,29
ronak1790,core,Database,getUsername.(I)Ljava/lang/Object;,27
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,28
divinebooger,huglife,HugLifeUtils,randomInt.(I)I,28
Jumping-alien-W-and-M,jumpingalien.model,World,getTilePos.(I)I,27
MikeLydeamore,powercrystals.core.gui.controls,ListBox,scrollTo.(I)V,28
tphoney,com.android.neverheardthat,Collection,getArtist.(I)Ljava/lang/Object;,27
shred,org.shredzone.feinrip.dvb.si,CharsetMapper,mapCharacterCode.(I)Ljava/nio/charset/Charset;,4211
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,getColumnClass.(I)Ljava/lang/Object;,28
tliu17,-,ClosedHashing,lookUp.(I)V,31
BoBinLee,com.skhu.service,SkhuBrdService,addQnABrd.(II)Z,29
AlecinVan,storm.ingress.tools,SlidingWindowCounter,slotAfter.(I)I,29
